"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for International Development","Department for International Development","Corporate Performance","A2","A1 (G6)","61381","70290","Administrator","2","Policy"
"Department for International Development","Department for International Development","Corporate Performance","A2","A2 (G7)","49410","58160","Administrator","5","Policy"
"Department for International Development","Department for International Development","Corporate Performance","A2","A2L (SEO)","41218","45380","Administrator","1","Policy"
"Department for International Development","Department for International Development","Corporate Performance","A2","B1 (HEO)","31320","35680","Administrator","2","Policy"
"Department for International Development","Department for International Development","Corporate Performance","A27","A1 (G6)","61381","70290","Administrator","11","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","A27","A2 (G7)","49410","58160","Administrator","15","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","A27","A2L (SEO)","41218","45380","Administrator","12","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","A27","B1 (HEO)","31320","35680","Administrator","13","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","A27","B2 (EO)","23930","28210","Administrator","16","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","A27","C1 (AO)","19500","23275","Administrator","6","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","B38","A1 (G6)","61381","70290","Administrator","5","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","A2 (G7)","49410","58160","Administrator","13","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","A2L (SEO)","41218","45380","Administrator","14","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","B1 (HEO)","31320","35680","Administrator","10","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","B1D (Faststream)","26800","37195","Administrator","1","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","B2 (EO)","23930","28210","Administrator","4","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B41","A1 (G6)","61381","70290","Administrator","5","Information Technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","A2 (G7)","49410","58160","Administrator","15","Information Technology"
