"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Public Affairs","6","Band 4","29000","36000","Various","17.25","Operational delivery","/data/vam/2011-09-30/VA-staff-and-salary-data-asat-30Sep11.xls","juniorPosts26"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Public Affairs","6","Band 5","24000","30000","Various","20.51","Operational delivery","/data/vam/2011-09-30/VA-staff-and-salary-data-asat-30Sep11.xls","juniorPosts27"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Public Affairs","6","Band 6","20000","24000","Various","21.2","Operational delivery","/data/vam/2011-09-30/VA-staff-and-salary-data-asat-30Sep11.xls","juniorPosts28"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Public Affairs","6","Band 7","17000","21000","Assistant","1","Operational delivery","/data/vam/2011-09-30/VA-staff-and-salary-data-asat-30Sep11.xls","juniorPosts29"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Directorate, Finance & Resources","7","Band 1","53000","67000","Head of Department","1","Operational delivery","/data/vam/2011-09-30/VA-staff-and-salary-data-asat-30Sep11.xls","juniorPosts30"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Directorate, Finance & Resources","7","Band 2","43000","53000","Head of Section","5.62","Operational delivery","/data/vam/2011-09-30/VA-staff-and-salary-data-asat-30Sep11.xls","juniorPosts31"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Directorate, Finance & Resources","7","Band 3","35000","43000","Various","4.81","Operational delivery","/data/vam/2011-09-30/VA-staff-and-salary-data-asat-30Sep11.xls","juniorPosts32"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Directorate, Finance & Resources","7","Band 4","29000","36000","Various","18.41","Operational delivery","/data/vam/2011-09-30/VA-staff-and-salary-data-asat-30Sep11.xls","juniorPosts33"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Directorate, Finance & Resources","7","Band 5","24000","30000","Various","15","Operational delivery","/data/vam/2011-09-30/VA-staff-and-salary-data-asat-30Sep11.xls","juniorPosts34"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Directorate, Finance & Resources","7","Band 6","20000","24000","Various","10.46","Operational delivery","/data/vam/2011-09-30/VA-staff-and-salary-data-asat-30Sep11.xls","juniorPosts35"
"Department for Culture, Media and Sport","Victoria & Albert Museum","Directorate, Finance & Resources","7","Band 7","17000","21000","Assistant","1","Operational delivery","/data/vam/2011-09-30/VA-staff-and-salary-data-asat-30Sep11.xls","juniorPosts36"
