"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for International Development","Department for International Development","Corporate Performance","B47","C1 (AO)","19500","23276","operational manager","12.4","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B47","C2 (AA)","16080","20090","operational manager","9","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B80","A1 (G6)","61381","70290","operational manager","1","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B105","A1 (G6)","61381","70290","Finance Officer","1","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B105","A1 (G6)","61381","70290","operational manager","1","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B105","A2 (G7)","49410","58160","Finance Officer","3","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B105","A2 (G7)","49410","58160","operational manager","1","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B105","A2L (SEO)","41218","45380","Finance Officer","2","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B105","A2L (SEO)","41218","45380","operational manager","4","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B105","B1 (HEO)","31320","35680","operational manager","3","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B105","B2 (EO)","23615","28210","operational manager","5.8","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B105","B2 (EO)","23615","28210","operational manager","1","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B105","C1 (AO)","19500","23276","operational manager","16","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B109","A1 (G6)","61381","70290","Internal Auditor","2","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B109","A2 (G7)","49410","58160","Internal Auditor","3","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B109","A2L (SEO)","41218","45380","Internal Auditor","9","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B109","B1 (HEO)","31320","35680","Internal Audit Support Officer","2","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B109","B1 (HEO)","31320","35680","Internal Auditor","7","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B109","B2 (EO)","23615","28210","Internal Auditor","1","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B109","B2 (EO)","23615","28210","operational manager","2","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B117","B2 (EO)","23615","28210","Finance Officer","1","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B127","A1 (G6)","61381","70290","operational manager","2","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B127","A1 (G6)","61381","70290","Policy Adviser","1","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B127","A1 (G6)","61381","70290","Statistician","1","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B127","A2 (G7)","49410","58160","Finance Officer","1","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B127","A2 (G7)","49410","58160","operational manager","4","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B127","A2 (G7)","49410","58160","Policy Adviser","2","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B127","A2 (G7)","49410","58160","Programme Manager","1","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B127","A2 (G7)","49410","58160","Statistician","2","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B127","A2L (SEO)","41218","45380","Finance Officer","3","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B127","A2L (SEO)","41218","45380","operational manager","2","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B127","B1 (HEO)","31320","35680","operational manager","6","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B127","B1 (HEO)","31320","35680","Policy Adviser","1","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B127","B2 (EO)","23615","28210","operational manager","4","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B127","B1D (Faststream)","26800","37195","Policy Adviser","1","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B127","B1D (Faststream)","26800","37195","Statistician","2","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B134","A1 (G6)","61381","70290","Procurement Officer","2","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B134","A2 (G7)","49410","58160","Procurement Officer","10","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B134","A2L (SEO)","41218","45380","Procurement Officer","16","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B134","B1 (HEO)","31320","35680","operational manager","2","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B134","B1 (HEO)","31320","35680","Procurement Officer","12","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B134","B2 (EO)","23615","28210","Procurement Officer","1","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B134","C1 (AO)","19500","23276","operational manager","3","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B137","A1 (G6)","61381","70290","operational manager","1","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B137","A1 (G6)","61381","70290","Programme Manager","2","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B137","A2 (G7)","49410","58160","Programme Manager","2","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B139","A2 (G7)","49410","58160","Communications Manager","3","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B139","A2L (SEO)","41218","45380","Communications Manager","5","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B139","B1 (HEO)","31320","35680","Communications Manager","2","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B139","B2 (EO)","23615","28210","Diary Manager","1","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B173","A1 (G6)","61381","70290","HR officer","1","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","B173","A2 (G7)","49410","58160","HR support officer","4","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","B173","A2 (G7)","49410","58160","operational manager","2","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","B173","A2L (SEO)","41218","45380","HR officer","1","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","B173","A2L (SEO)","41218","45380","operational manager","5","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","B173","B1 (HEO)","31320","35680","HR officer","5","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","B173","B1 (HEO)","31320","35680","operational manager","7","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","B173","B1 (HEO)","31320","35680","operational manager","1","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B173","B2 (EO)","23615","28210","HR officer","5","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","B173","B2 (EO)","23615","28210","operational manager","7","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","B173","C1 (AO)","19500","23276","operational manager","5","Human Resources"
"Department for International Development","Department for International Development","Country Programmes","A25","A1 (G6)","61381","70290","Policy Adviser","2","Finance"
"Department for International Development","Department for International Development","Country Programmes","A25","A1 (G6)","61381","70290","Senior Operational Manager","1","Finance"
"Department for International Development","Department for International Development","Country Programmes","A25","A2 (G7)","49410","58160","Policy Adviser","1","Finance"
"Department for International Development","Department for International Development","Country Programmes","A25","B1 (HEO)","31320","35680","Policy Adviser","2","Finance"
"Department for International Development","Department for International Development","Country Programmes","A25","B2 (EO)","23615","28210","Diary Manager","1","Finance"
"Department for International Development","Department for International Development","Country Programmes","A25","B1D (Faststream)","26800","37195","Policy Adviser","1","Finance"
"Department for International Development","Department for International Development","Country Programmes","A26","A1 (G6)","61381","70290","Policy Adviser","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","A26","A1 (G6)","61381","70290","Programme Manager","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","A26","A2 (G7)","49410","58160","operational manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","A26","A2 (G7)","49410","58160","Policy Adviser","8","Policy"
"Department for International Development","Department for International Development","Country Programmes","A26","A2 (G7)","49410","58160","Programme Manager","4","Policy"
"Department for International Development","Department for International Development","Country Programmes","A26","A2L (SEO)","41218","45380","Programme Manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","A26","B1 (HEO)","31320","35680","operational manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","A26","B1 (HEO)","31320","35680","Programme Manager","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","A26","B2 (EO)","23615","28210","Programme Manager","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","A26","C1 (AO)","19500","23276","Diary Manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","A26","B1D (Faststream)","26800","37195","Policy Adviser","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","A28","A1 (G6)","61381","70290","Policy Adviser","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","A41","A1 (G6)","61381","70290","Policy Adviser","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","A41","A1 (G6)","61381","70290","Programme Manager","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","A41","A1 (G6)","61381","70290","Senior Operational Manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","A41","A2 (G7)","49410","58160","Policy Adviser","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","A41","A2 (G7)","49410","58160","Programme Manager","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","A41","A2L (SEO)","41218","45380","Policy Adviser","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","A41","B1 (HEO)","31320","35680","Policy Adviser","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","A41","B1 (HEO)","31320","35680","Programme Manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","A41","B2 (EO)","23615","28210","Diary Manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","A41","B2 (EO)","23615","28210","Policy Adviser","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","A41","C1 (AO)","19500","23276","Policy Adviser","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","A41","B1D (Faststream)","26800","37195","Policy Adviser","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","A42","A2 (G7)","49410","58160","Programme Manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","A43","A1 (G6)","61381","70290","operational manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","A43","B2 (EO)","23615","28210","Diary Manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","A45","A1 (G6)","61381","70290","Policy Adviser","6","Policy"
"Department for International Development","Department for International Development","Country Programmes","A45","A1 (G6)","61381","70290","Programme Manager","4","Policy"
"Department for International Development","Department for International Development","Country Programmes","A45","A2 (G7)","49410","58160","operational manager","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","A45","A2 (G7)","49410","58160","Policy Adviser","12","Policy"
"Department for International Development","Department for International Development","Country Programmes","A45","A2 (G7)","49410","58160","Programme Manager","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","A45","A2L (SEO)","41218","45380","operational manager","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","A45","A2L (SEO)","41218","45380","Policy Adviser","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","A45","A2L (SEO)","41218","45380","Programme Manager","7","Policy"
"Department for International Development","Department for International Development","Country Programmes","A45","B1 (HEO)","31320","35680","operational manager","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","A45","B1 (HEO)","31320","35680","Policy Adviser","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","A45","B1 (HEO)","31320","35680","Programme Manager","9","Policy"
