"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Home Office","Equality and Human Rights Commission","Corporate Management, Business Planning","3","Level 2","20056","24378","Administrator","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Business Planning","3","Level 2","20056","24378","Administrator","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Business Planning","3","Level 3","26815","32595","Analyst","1.6","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Business Planning","3","Level 3","26815","32595","Analyst","1.6","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Business Planning","3","Level 3","26815","32595","Analyst","1.6","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Business Planning","3","Level 3","26815","32595","Analyst","1.6","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Business Planning","3","Level 3","26815","32595","Business Planning Officer","2","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Business Planning","3","Level 3","26815","32595","Business Planning Officer","2","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Business Planning","3","Level 3","26815","32595","Business Planning Officer","2","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Business Planning","3","Level 3","26815","32595","Business Planning Officer","2","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Business Planning","3","Level 5","43680","53093","Head","2","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Business Planning","3","Level 5","43680","53093","Head","2","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Business Planning","3","Level 5","43680","53093","Head","2","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Business Planning","3","Level 5","43680","53093","Head","2","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Corporate Law and Governance","3","Director","55000","90000","Director","1","Law"
"Home Office","Equality and Human Rights Commission","Corporate Management, Corporate Law and Governance","3","Director","55000","90000","Director","1","Law"
"Home Office","Equality and Human Rights Commission","Corporate Management, Corporate Law and Governance","3","Director","55000","90000","Director","1","Law"
"Home Office","Equality and Human Rights Commission","Corporate Management, Corporate Law and Governance","3","Director","55000","90000","Director","1","Law"
"Home Office","Equality and Human Rights Commission","Corporate Management, Corporate Law and Governance","3","Level 4","34224","41600","Legal Adviser","1","Law"
"Home Office","Equality and Human Rights Commission","Corporate Management, Corporate Law and Governance","3","Level 4","34224","41600","Legal Adviser","1","Law"
"Home Office","Equality and Human Rights Commission","Corporate Management, Corporate Law and Governance","3","Level 4","34224","41600","Legal Adviser","1","Law"
"Home Office","Equality and Human Rights Commission","Corporate Management, Corporate Law and Governance","3","Level 4","34224","41600","Legal Adviser","1","Law"
"Home Office","Equality and Human Rights Commission","Corporate Management, Corporate Law and Governance","3","Level 5","43680","53093","Senior Legal Adviser","3","Law"
"Home Office","Equality and Human Rights Commission","Corporate Management, Corporate Law and Governance","3","Level 5","43680","53093","Senior Legal Adviser","3","Law"
"Home Office","Equality and Human Rights Commission","Corporate Management, Corporate Law and Governance","3","Level 5","43680","53093","Senior Legal Adviser","3","Law"
"Home Office","Equality and Human Rights Commission","Corporate Management, Corporate Law and Governance","3","Level 5","43680","53093","Senior Legal Adviser","3","Law"
"Home Office","Equality and Human Rights Commission","Corporate Management, Group Directorate","3","Director","55000","90000","Director","2","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Group Directorate","3","Director","55000","90000","Director","2","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Group Directorate","3","Director","55000","90000","Director","2","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Group Directorate","3","Director","55000","90000","Director","2","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Group Directorate","3","Level 2","20056","24378","Project Support Officer","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Group Directorate","3","Level 2","20056","24378","Project Support Officer","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Group Directorate","3","Level 2","20056","24378","Project Support Officer","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Group Directorate","3","Level 2","20056","24378","Project Support Officer","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Group Directorate","3","Level 3","26815","32595","Executive Assistant","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Group Directorate","3","Level 3","26815","32595","Executive Assistant","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Group Directorate","3","Level 3","26815","32595","Executive Assistant","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Group Directorate","3","Level 3","26815","32595","Executive Assistant","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Group Directorate","3","Level 4","34224","41600","Business Manager","0.5","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Group Directorate","3","Level 4","34224","41600","Business Manager","0.5","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Group Directorate","3","Level 4","34224","41600","Business Manager","0.5","Operational delivery"
