"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for International Development","Department for International Development","Corporate Performance","A2","A1 (G6)","61381","70290","Administrator","2","Policy"
"Department for International Development","Department for International Development","Corporate Performance","A2","A2 (G7)","49410","58160","Administrator","4.8","Policy"
"Department for International Development","Department for International Development","Corporate Performance","A21","A1 (G6)","61381","70290","Administrator","1","Finance"
"Department for International Development","Department for International Development","Corporate Performance","A21","A2(L) (SEO)","41218","45380","Administrator","1","Finance"
"Department for International Development","Department for International Development","Corporate Performance","A21","A2 (G7)","49410","58160","Administrator","0.5","Policy"
"Department for International Development","Department for International Development","Corporate Performance","A21","B1 (HEO)","31320","35680","Administrator","2","Policy"
"Department for International Development","Department for International Development","Corporate Performance","A21","B2 (EO)","23930","28210","Administrator","4.5","Policy"
"Department for International Development","Department for International Development","Corporate Performance","A21","C1 (AO)","19500","23275","Administrator","7.8","Policy"
"Department for International Development","Department for International Development","Corporate Performance","A21","C2 (AA)","16080","20090","Administrator","1","Policy"
"Department for International Development","Department for International Development","Corporate Performance","A27","A1 (G6)","61381","70290","Administrator","12","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","A27","A2 (G7)","49410","58160","Administrator","5","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","A27","B1 (HEO)","31320","35680","Administrator","1","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","A27","B2 (EO)","23930","28210","Administrator","8.6","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","B105","A1 (G6)","61381","70290","Administrator","2","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B105","A2 (G7)","49410","58160","Administrator","2","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B105","A2(L) (SEO)","41218","45380","Administrator","7","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B105","B1 (HEO)","31320","35680","Administrator","3.8","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B105","B2 (EO)","23930","28210","Administrator","6.8","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B105","C1 (AO)","19500","23275","Administrator","14.3","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B109","A1 (G6)","61381","70290","Administrator","1","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B109","A2 (G7)","49410","58160","Administrator","4","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B109","A2(L) (SEO)","41218","45380","Administrator","5","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B109","B1 (HEO)","31320","35680","Administrator","4","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B109","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B109","B2 (EO)","23930","28210","Administrator","1","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B123","A1 (G6)","61381","70290","Administrator","4","Finance"
