"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for International Development","Department for International Development","Policy & International","B95","C1 (AO)","19249","22981","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","A19","A1 (G6)","59265","69585","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","A19","A2 (G7)","47459","57441","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","A19","A2 (G7)","47459","57441","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","A19","B2 (EO)","22106","27850","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B50","A1 (G6)","59265","69585","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B50","A2 (G7)","47459","57441","Administrator","5.4","Policy"
"Department for International Development","Department for International Development","Policy & International","B50","A2L (SEO)","38894","44817","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B50","B1D (Faststream)","26800","36827","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B50","B1 (HEO)","29118","35225","Administrator","3.8","Policy"
"Department for International Development","Department for International Development","Policy & International","B50","C1 (AO)","19249","22981","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B70","A1 (G6)","59265","69585","Administrator","2.9","Policy"
"Department for International Development","Department for International Development","Policy & International","B70","A2 (G7)","47459","57441","Administrator","13.2","Policy"
"Department for International Development","Department for International Development","Policy & International","B70","A2L (SEO)","38894","44817","Administrator","6","Policy"
"Department for International Development","Department for International Development","Policy & International","B70","B1D (Faststream)","26800","36827","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B70","B1 (HEO)","29118","35225","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","B70","B2 (EO)","22106","27850","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","B70","C1 (AO)","19249","22981","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B71","A1 (G6)","59265","69585","Administrator","8.5","Policy"
"Department for International Development","Department for International Development","Policy & International","B71","A2 (G7)","47459","57441","Administrator","19","Policy"
"Department for International Development","Department for International Development","Policy & International","B71","A2 (G7)","47459","57441","Administrator","19","Policy"
"Department for International Development","Department for International Development","Policy & International","B71","B1 (HEO)","29118","35225","Administrator","4","Policy"
"Department for International Development","Department for International Development","Policy & International","B71","B1 (HEO)","29118","35225","Administrator","4","Policy"
"Department for International Development","Department for International Development","Policy & International","B71","B2 (EO)","22106","27850","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","B71","C1 (AO)","19249","22981","Administrator","3.3","Policy"
"Department for International Development","Department for International Development","Policy & International","B74","A1 (G6)","59265","69585","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","B74","A2 (G7)","47459","57441","Administrator","7","Policy"
"Department for International Development","Department for International Development","Policy & International","B74","A2 (G7)","47459","57441","Administrator","7","Policy"
"Department for International Development","Department for International Development","Policy & International","B74","A2L (SEO)","38894","44817","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B74","B1D (Faststream)","26800","36827","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","B74","B1 (HEO)","29118","35225","Administrator","3.6","Policy"
"Department for International Development","Department for International Development","Policy & International","B74","B2 (EO)","22106","27850","Administrator","4","Policy"
"Department for International Development","Department for International Development","Policy & International","B74","C1 (AO)","19249","22981","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B74","C1 (AO)","19249","22981","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B48","A1 (G6)","59265","69585","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B48","A1 (G6)","59265","69585","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B48","A2 (G7)","47459","57441","Administrator","7","Policy"
"Department for International Development","Department for International Development","Policy & International","B48","A2L (SEO)","38894","44817","Administrator","13.8","Policy"
"Department for International Development","Department for International Development","Policy & International","B48","A2L (SEO)","38894","44817","Administrator","13.8","Policy"
"Department for International Development","Department for International Development","Policy & International","B48","B1 (HEO)","29118","35225","Administrator","7.7","Policy"
"Department for International Development","Department for International Development","Policy & International","B48","B1 (HEO)","29118","35225","Administrator","7.7","Policy"
"Department for International Development","Department for International Development","Policy & International","B48","B2 (EO)","22106","27850","Administrator","4.9","Policy"
"Department for International Development","Department for International Development","Policy & International","B48","C1 (AO)","19249","22981","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","B38","A1 (G6)","59265","69585","Administrator","5.2","Policy"
"Department for International Development","Department for International Development","Policy & International","B38","A2 (G7)","47459","57441","Administrator","11","Policy"
"Department for International Development","Department for International Development","Policy & International","B38","A2L (SEO)","38894","44817","Administrator","15.6","Policy"
"Department for International Development","Department for International Development","Policy & International","B38","B1 (HEO)","29118","35225","Administrator","12.8","Policy"
"Department for International Development","Department for International Development","Policy & International","B38","B2 (EO)","22106","27850","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","B38","C1 (AO)","19249","22981","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","B42","A1 (G6)","59265","69585","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B42","A1 (G6)","59265","69585","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B42","A2 (G7)","47459","57441","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B42","C1 (AO)","19249","22981","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","A6","A1 (G6)","59265","69585","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","A6","A2 (G7)","47459","57441","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","A6","A2 (G7)","47459","57441","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","A6","B1 (HEO)","29118","35225","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B44","A1 (G6)","59265","69585","Administrator","2.6","Policy"
"Department for International Development","Department for International Development","Policy & International","A21","A1 (G6)","59265","69585","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","A21","A2 (G7)","47459","57441","Administrator","2.9","Policy"
"Department for International Development","Department for International Development","Policy & International","A21","A2L (SEO)","38894","44817","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","A21","B1 (HEO)","29118","35225","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","A21","B2 (EO)","22106","27850","Administrator","9.4","Policy"
"Department for International Development","Department for International Development","Policy & International","A21","C1 (AO)","19249","22981","Administrator","8.6","Policy"
"Department for International Development","Department for International Development","Policy & International","A21","C2 (AA)","15866","19839","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B79","A1 (G6)","59265","69585","Administrator","5.4","Policy"
"Department for International Development","Department for International Development","Policy & International","B79","A2 (G7)","47459","57441","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","B79","C1 (AO)","19249","22981","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B79","C1 (AO)","19249","22981","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B93","A1 (G6)","59265","69585","Administrator","10","Policy"
"Department for International Development","Department for International Development","Policy & International","B93","A2 (G7)","47459","57441","Administrator","16","Policy"
"Department for International Development","Department for International Development","Policy & International","B93","A2 (G7)","47459","57441","Administrator","16","Policy"
"Department for International Development","Department for International Development","Policy & International","B93","A2L (SEO)","38894","44817","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","B93","B1D (Faststream)","26800","36827","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B93","B1D (Faststream)","26800","36827","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B93","B1 (HEO)","29118","35225","Administrator","6","Policy"
"Department for International Development","Department for International Development","Policy & International","B93","B2 (EO)","22106","27850","Administrator","4","Policy"
"Department for International Development","Department for International Development","Policy & International","B93","C1 (AO)","19249","22981","Administrator","2","Policy"
"Department for International Development","Department for International Development","Corporate Performance","A12","A1 (G6)","59265","69585","Administrator","4","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","A12","A2 (G7)","47459","57441","Administrator","2","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","A12","A2 (G7)","47459","57441","Administrator","2","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","A12","A2L (SEO)","38894","44817","Administrator","1","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","A12","B1 (HEO)","29118","35225","Administrator","1","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","A12","B1 (HEO)","29118","35225","Administrator","1","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","A12","B2 (EO)","22106","27850","Administrator","2","Human Resources"
"Department for International Development","Department for International Development","Policy & International","B94","A1 (G6)","59265","69585","Administrator","5","Policy"
"Department for International Development","Department for International Development","Policy & International","B94","A2 (G7)","47459","57441","Administrator","20","Policy"
"Department for International Development","Department for International Development","Policy & International","B94","A2L (SEO)","38894","44817","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B94","B1D (Faststream)","26800","36827","Administrator","4","Policy"
"Department for International Development","Department for International Development","Policy & International","B94","B1 (HEO)","29118","35225","Administrator","4","Policy"
"Department for International Development","Department for International Development","Policy & International","B94","B2 (EO)","22106","27850","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B94","C1 (AO)","19249","22981","Administrator","4","Policy"
"Department for International Development","Department for International Development","Policy & International","B94","C1 (AO)","19249","22981","Administrator","4","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B60","A1 (G6)","59265","69585","Administrator","2","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","B60","A2 (G7)","47459","57441","Administrator","9","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","B60","A2L (SEO)","38894","44817","Administrator","7","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","B60","B1 (HEO)","29118","35225","Administrator","11","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","B60","B2 (EO)","22106","27850","Administrator","4","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","B60","C1 (AO)","19249","22981","Administrator","3.6","Human Resources"
"Department for International Development","Department for International Development","Policy & International","A15","A1 (G6)","59265","69585","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","A15","A2 (G7)","47459","57441","Administrator","6","Policy"
"Department for International Development","Department for International Development","Policy & International","A15","B1D (Faststream)","26800","36827","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","A15","B1D (Faststream)","26800","36827","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","A15","B1 (HEO)","29118","35225","Administrator","1.8","Policy"
"Department for International Development","Department for International Development","Policy & International","A15","B2 (EO)","22106","27850","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","A15","C1 (AO)","19249","22981","Administrator","0.6","Policy"
"Department for International Development","Department for International Development","Policy & International","B87","A1 (G6)","59265","69585","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B87","A2 (G7)","47459","57441","Administrator","6","Policy"
"Department for International Development","Department for International Development","Policy & International","B87","B1D (Faststream)","26800","36827","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B87","B1 (HEO)","29118","35225","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B87","B2 (EO)","22106","27850","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B87","B2 (EO)","22106","27850","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B87","C1 (AO)","19249","22981","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","A2","A1 (G6)","59265","69585","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","A2","A1 (G6)","59265","69585","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","A2","A2 (G7)","47459","57441","Administrator","5","Policy"
"Department for International Development","Department for International Development","Policy & International","A2","A2L (SEO)","38894","44817","Administrator","4","Policy"
"Department for International Development","Department for International Development","Policy & International","A2","A2L (SEO)","38894","44817","Administrator","4","Policy"
"Department for International Development","Department for International Development","Policy & International","A2","B1 (HEO)","29118","35225","Administrator","7","Policy"
"Department for International Development","Department for International Development","Policy & International","A2","B2 (EO)","22106","27850","Administrator","9","Policy"
"Department for International Development","Department for International Development","Policy & International","A2","B2 (EO)","22106","27850","Administrator","9","Policy"
"Department for International Development","Department for International Development","Policy & International","A2","C1 (AO)","19249","22981","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B54","A1 (G6)","59265","69585","Administrator","5","Policy"
"Department for International Development","Department for International Development","Policy & International","B54","A1 (G6)","59265","69585","Administrator","5","Policy"
"Department for International Development","Department for International Development","Policy & International","B54","A2 (G7)","47459","57441","Administrator","8","Policy"
"Department for International Development","Department for International Development","Policy & International","B54","A2L (SEO)","38894","44817","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B54","A2L (SEO)","38894","44817","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B54","B1D (Faststream)","26800","36827","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B54","B1 (HEO)","29118","35225","Administrator","4","Policy"
"Department for International Development","Department for International Development","Policy & International","B54","B2 (EO)","22106","27850","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B54","B2 (EO)","22106","27850","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B54","C1 (AO)","19249","22981","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B88","A1 (G6)","59265","69585","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B88","A1 (G6)","59265","69585","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B88","A2 (G7)","47459","57441","Administrator","4.9","Policy"
"Department for International Development","Department for International Development","Policy & International","B88","A2L (SEO)","38894","44817","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B88","A2L (SEO)","38894","44817","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B88","B1D (Faststream)","26800","36827","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B88","B1 (HEO)","29118","35225","Administrator","4.1","Policy"
"Department for International Development","Department for International Development","Policy & International","B88","B2 (EO)","22106","27850","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B88","C1 (AO)","19249","22981","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B52","A1 (G6)","59265","69585","Administrator","9","Policy"
"Department for International Development","Department for International Development","Policy & International","B52","A2 (G7)","47459","57441","Administrator","14.8","Policy"
"Department for International Development","Department for International Development","Policy & International","B52","A2L (SEO)","38894","44817","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B52","B1D (Faststream)","26800","36827","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B52","B1 (HEO)","29118","35225","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","B52","B2 (EO)","22106","27850","Administrator","1.9","Policy"
"Department for International Development","Department for International Development","Policy & International","B52","C1 (AO)","19249","22981","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B46","A2 (G7)","47459","57441","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","B46","A2L (SEO)","38894","44817","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B46","B2 (EO)","22106","27850","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B46","C1 (AO)","19249","22981","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B46","C1 (AO)","19249","22981","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B91","A1 (G6)","59265","69585","Administrator","8.2","Policy"
"Department for International Development","Department for International Development","Policy & International","B91","A2 (G7)","47459","57441","Administrator","11.6","Policy"
"Department for International Development","Department for International Development","Policy & International","B91","A2L (SEO)","38894","44817","Administrator","3.5","Policy"
"Department for International Development","Department for International Development","Policy & International","B91","B1 (HEO)","29118","35225","Administrator","6","Policy"
"Department for International Development","Department for International Development","Policy & International","B91","B2 (EO)","22106","27850","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","B91","C1 (AO)","19249","22981","Administrator","2.6","Policy"
"Department for International Development","Department for International Development","Policy & International","B98","A1 (G6)","59265","69585","Administrator","9.1","Policy"
"Department for International Development","Department for International Development","Policy & International","B98","A2 (G7)","47459","57441","Administrator","18.7","Policy"
"Department for International Development","Department for International Development","Policy & International","B98","A2 (G7)","47459","57441","Administrator","18.7","Policy"
"Department for International Development","Department for International Development","Policy & International","B98","B1 (HEO)","29118","35225","Administrator","8","Policy"
"Department for International Development","Department for International Development","Policy & International","B98","B2 (EO)","22106","27850","Administrator","5","Policy"
"Department for International Development","Department for International Development","Policy & International","B98","B2 (EO)","22106","27850","Administrator","5","Policy"
"Department for International Development","Department for International Development","Policy & International","B98","C1 (AO)","19249","22981","Administrator","3","Policy"
"Department for International Development","Department for International Development","Country programmes","B99","A1 (G6)","59265","69585","Administrator","3","Policy"
"Department for International Development","Department for International Development","Country programmes","B99","A2 (G7)","47459","57441","Administrator","6","Policy"
"Department for International Development","Department for International Development","Country programmes","B99","A2L (SEO)","38894","44817","Administrator","0.8","Policy"
"Department for International Development","Department for International Development","Country programmes","B99","A2L (SEO)","38894","44817","Administrator","0.8","Policy"
"Department for International Development","Department for International Development","Country programmes","B99","B1 (HEO)","29118","35225","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country programmes","B99","B2 (EO)","22106","27850","Administrator","2","Policy"
"Department for International Development","Department for International Development","Country programmes","B99","B2 (EO)","22106","27850","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B100","A1 (G6)","59265","69585","Administrator","10.8","Policy"
"Department for International Development","Department for International Development","Policy & International","B100","A2 (G7)","47459","57441","Administrator","16.2","Policy"
"Department for International Development","Department for International Development","Policy & International","B100","A2 (G7)","47459","57441","Administrator","16.2","Policy"
"Department for International Development","Department for International Development","Policy & International","B100","A2L (SEO)","38894","44817","Administrator","3.4","Policy"
"Department for International Development","Department for International Development","Policy & International","B100","B1D (Faststream)","26800","36827","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B100","B1 (HEO)","29118","35225","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B100","B2 (EO)","22106","27850","Administrator","1.8","Policy"
"Department for International Development","Department for International Development","Policy & International","B100","B2 (EO)","22106","27850","Administrator","1.8","Policy"
"Department for International Development","Department for International Development","Policy & International","B100","C1 (AO)","19249","22981","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B103","A1 (G6)","59265","69585","Administrator","10","Policy"
"Department for International Development","Department for International Development","Policy & International","B103","A2 (G7)","47459","57441","Administrator","13","Policy"
"Department for International Development","Department for International Development","Policy & International","B103","A2L (SEO)","38894","44817","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B103","A2L (SEO)","38894","44817","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B103","B1D (Faststream)","26800","36827","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B103","B1 (HEO)","29118","35225","Administrator","5","Policy"
"Department for International Development","Department for International Development","Policy & International","B104","A1 (G6)","59265","69585","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B104","A2 (G7)","47459","57441","Administrator","6","Policy"
"Department for International Development","Department for International Development","Policy & International","B104","B1D (Faststream)","26800","36827","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B104","B1D (Faststream)","26800","36827","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B104","B1 (HEO)","29118","35225","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","B104","B2 (EO)","22106","27850","Administrator","9","Policy"
"Department for International Development","Department for International Development","Policy & International","B104","B2 (EO)","22106","27850","Administrator","9","Policy"
"Department for International Development","Department for International Development","Finance & Corporate Performance","B105","A2 (G7)","47459","57441","Administrator","3","Policy"
"Department for International Development","Department for International Development","Finance & Corporate Performance","B105","A2L (SEO)","38894","44817","Administrator","1","Policy"
"Department for International Development","Department for International Development","Finance & Corporate Performance","B105","A2L (SEO)","38894","44817","Administrator","1","Policy"
"Department for International Development","Department for International Development","Finance & Corporate Performance","B105","B1 (HEO)","29118","35225","Administrator","2","Policy"
"Department for International Development","Department for International Development","Finance & Corporate Performance","B105","B2 (EO)","22106","27850","Administrator","6","Policy"
"Department for International Development","Department for International Development","Finance & Corporate Performance","B105","C1 (AO)","19249","22981","Administrator","17","Policy"
"Department for International Development","Department for International Development","Country programmes","B106","A1 (G6)","59265","69585","Administrator","13","Policy"
"Department for International Development","Department for International Development","Country programmes","B106","A2 (G7)","47459","57441","Administrator","16","Policy"
"Department for International Development","Department for International Development","Country programmes","B106","A2L (SEO)","38894","44817","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country programmes","B106","A2L (SEO)","38894","44817","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country programmes","B106","B1D (Faststream)","26800","36827","Administrator","5","Policy"
"Department for International Development","Department for International Development","Country programmes","B106","B1 (HEO)","29118","35225","Administrator","4.6","Policy"
"Department for International Development","Department for International Development","Country programmes","B106","B1 (HEO)","29118","35225","Administrator","4.6","Policy"
"Department for International Development","Department for International Development","Country programmes","B106","B2 (EO)","22106","27850","Administrator","4.6","Policy"
"Department for International Development","Department for International Development","Country programmes","B106","C1 (AO)","19249","22981","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B107","A1 (G6)","59265","69585","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B108","A1 (G6)","59265","69585","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","B108","A2 (G7)","47459","57441","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","B108","B1D (Faststream)","26800","36827","Administrator","4","Policy"
"Department for International Development","Department for International Development","Policy & International","B108","B1 (HEO)","29118","35225","Administrator","5","Policy"
