,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
40,"Department for Environment, Food and Rural Affairs",Natural England,Performance and Standards,19,Lead Adviser/Specialist/Group Coordinator,24120,32744,Lead Adviser,6.55,Operational Delivery
41,"Department for Environment, Food and Rural Affairs",Natural England,Performance and Standards,19,Adviser,20500,26620,Adviser,3.82,Operational Delivery
42,"Department for Environment, Food and Rural Affairs",Natural England,Performance and Standards,19,Support Adviser,16500,20390,Support Adviser,1.0,Operational Delivery
43,"Department for Environment, Food and Rural Affairs",Natural England,Systems Knowledge & Information ,7,Principal Adviser/Principal Specialist/Manager,39850,56100,Manager,4.82,Information Technology
44,"Department for Environment, Food and Rural Affairs",Natural England,Systems Knowledge & Information ,7,Principal Adviser/Principal Specialist/Manager,39850,56100,Principal Adviser,19.0,Information Technology
45,"Department for Environment, Food and Rural Affairs",Natural England,Systems Knowledge & Information ,7,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Team Leader,7.0,Information Technology
46,"Department for Environment, Food and Rural Affairs",Natural England,Systems Knowledge & Information ,7,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Senior Adviser,26.9,Information Technology
47,"Department for Environment, Food and Rural Affairs",Natural England,Systems Knowledge & Information ,7,Lead Adviser/Specialist/Group Coordinator,24120,32744,Group Coordinator,1.0,Information Technology
48,"Department for Environment, Food and Rural Affairs",Natural England,Systems Knowledge & Information ,7,Lead Adviser/Specialist/Group Coordinator,24120,32744,Lead Adviser,30.37,Information Technology
49,"Department for Environment, Food and Rural Affairs",Natural England,Systems Knowledge & Information ,7,Adviser,20500,26620,Adviser,18.41,Information Technology
50,"Department for Environment, Food and Rural Affairs",Natural England,Systems Knowledge & Information ,7,Support Adviser,16500,20390,Support Adviser,5.0,Information Technology
51,"Department for Environment, Food and Rural Affairs",Natural England,Customer Services,21,Principal Adviser/Principal Specialist/Manager,39850,56100,Manager,4.0,Operational Delivery
52,"Department for Environment, Food and Rural Affairs",Natural England,Customer Services,21,Principal Adviser/Principal Specialist/Manager,39850,56100,Principal Adviser,1.0,Operational Delivery
53,"Department for Environment, Food and Rural Affairs",Natural England,Customer Services,21,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Team Leader,10.2,Operational Delivery
54,"Department for Environment, Food and Rural Affairs",Natural England,Customer Services,21,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Senior Adviser,5.0,Operational Delivery
55,"Department for Environment, Food and Rural Affairs",Natural England,Customer Services,21,Lead Adviser/Specialist/Group Coordinator,24120,32744,Group Coordinator,29.98,Operational Delivery
56,"Department for Environment, Food and Rural Affairs",Natural England,Customer Services,21,Lead Adviser/Specialist/Group Coordinator,24120,32744,Lead Adviser,7.0,Operational Delivery
57,"Department for Environment, Food and Rural Affairs",Natural England,Customer Services,21,Adviser,20500,26620,Adviser,80.37,Operational Delivery
58,"Department for Environment, Food and Rural Affairs",Natural England,Customer Services,21,Support Adviser,16500,20390,Support Adviser,159.93,Operational Delivery
59,"Department for Environment, Food and Rural Affairs",Natural England,Land Management,8,Principal Adviser/Principal Specialist/Manager,39850,56100,Manager,1.0,Operational Delivery
60,"Department for Environment, Food and Rural Affairs",Natural England,Land Management,8,Principal Adviser/Principal Specialist/Manager,39850,56100,Principal Adviser,3.0,Operational Delivery
61,"Department for Environment, Food and Rural Affairs",Natural England,Land Management,8,Principal Adviser/Principal Specialist/Manager,39850,56100,Principal Specialist,2.0,Operational Delivery
62,"Department for Environment, Food and Rural Affairs",Natural England,Land Management,8,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Team Leader,2.0,Operational Delivery
63,"Department for Environment, Food and Rural Affairs",Natural England,Land Management,8,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Senior Adviser,9.4,Operational Delivery
64,"Department for Environment, Food and Rural Affairs",Natural England,Land Management,8,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Senior Specialist,6.8,Operational Delivery
65,"Department for Environment, Food and Rural Affairs",Natural England,Land Management,8,Lead Adviser/Specialist/Group Coordinator,24120,32744,Lead Adviser,1.0,Operational Delivery
66,"Department for Environment, Food and Rural Affairs",Natural England,Land Management,8,Lead Adviser/Specialist/Group Coordinator,24120,32744,Specialist,2.69,Operational Delivery
67,"Department for Environment, Food and Rural Affairs",Natural England,Land Management,8,Adviser,20500,26620,Adviser,0.82,Operational Delivery
68,"Department for Environment, Food and Rural Affairs",Natural England,Land Management,9,Principal Adviser/Principal Specialist/Manager,39850,56100,Manager,3.92,Operational Delivery
69,"Department for Environment, Food and Rural Affairs",Natural England,Land Management,9,Principal Adviser/Principal Specialist/Manager,39850,56100,Principal Adviser,4.0,Operational Delivery
70,"Department for Environment, Food and Rural Affairs",Natural England,Land Management,9,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Team Leader,13.66,Operational Delivery
71,"Department for Environment, Food and Rural Affairs",Natural England,Land Management,9,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Senior Adviser,15.99,Operational Delivery
72,"Department for Environment, Food and Rural Affairs",Natural England,Land Management,9,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Senior Specialist,3.0,Operational Delivery
73,"Department for Environment, Food and Rural Affairs",Natural England,Land Management,9,Lead Adviser/Specialist/Group Coordinator,24120,32744,Lead Adviser,111.79,Operational Delivery
74,"Department for Environment, Food and Rural Affairs",Natural England,Land Management,9,Adviser,20500,26620,Adviser,34.47,Operational Delivery
75,"Department for Environment, Food and Rural Affairs",Natural England,Land Management,9,Support Adviser,16500,20390,Support Adviser,5.29,Operational Delivery
