name,title,graphs,uris
centre-for-environment-fisheries-aquaculture-science,"Centre for Environment, Fisheries & Aquaculture Science",2011-09-30 2012-03-31 2012-09-30 2013-03-31 2013-09-30 2014-03-31 2014-09-30,http://reference.data.gov.uk/id/public-body/cefas http://reference.data.gov.uk/id/public-body/centre-for-environment-fisheries-and-aquaculture-science http://reference.data.gov.uk/id/public-body/centre-for-environment-fisheries-and-aquaculture-science http://reference.data.gov.uk/id/public-body/cefas http://reference.data.gov.uk/id/public-body/cefas http://reference.data.gov.uk/id/public-body/cefas http://reference.data.gov.uk/id/public-body/cefas
child-maintenance-and-enforcement-commission,Child Maintenance and Enforcement Commission,2011-03-31 2011-09-30 2012-03-31,http://reference.data.gov.uk/id/public-body/child-maintenance-and-enforcement-commission http://reference.data.gov.uk/id/public-body/child-maintenance-and-enforcement-commission http://reference.data.gov.uk/id/public-body/child-maintenance-and-enforcement-commission
children-and-family-court-advisory-and-support-service,Children and Family Court Advisory and Support Service,2011-03-31 2011-09-30,http://reference.data.gov.uk/id/public-body/children-and-family-court-advisory-and-support-ser http://reference.data.gov.uk/id/public-body/children-and-family-court-advisory-and-support-ser
childrens-workforce-development-council,Children's Workforce Development Council,2011-03-31 2011-09-30,http://reference.data.gov.uk/id/public-body/childrens-workforce-development-council http://reference.data.gov.uk/id/public-body/childrens-workforce-development-council-cwdc
civil-nuclear-police-authority,Civil Nuclear Police Authority,2011-09-30,http://reference.data.gov.uk/id/public-body/cnpacivil-nuclear-constabulary
civil-service-learning,Civil Service Learning,2011-09-30 2012-03-31 2012-09-30 2013-03-31 2013-09-30 2014-03-31 2014-09-30,http://reference.data.gov.uk/id/public-body/civil-service-learning http://reference.data.gov.uk/id/public-body/civil-service-learning http://reference.data.gov.uk/id/public-body/civil-service-learning http://reference.data.gov.uk/id/public-body/civil-service-learning http://reference.data.gov.uk/id/public-body/civil-service-learning http://reference.data.gov.uk/id/public-body/civil-service-learning http://reference.data.gov.uk/id/public-body/civil-service-learning
coal-authority,Coal Authority,2011-03-31 2011-09-30 2012-09-30 2013-03-31,http://reference.data.gov.uk/id/public-body/the-coal-authority http://reference.data.gov.uk/id/public-body/the-coal-authority http://reference.data.gov.uk/id/public-body/the-coal-authority http://reference.data.gov.uk/id/public-body/the-coal-authority
committee-on-climate-change,Committee on Climate Change,2011-09-30 2012-03-31,http://reference.data.gov.uk/id/public-body/committee-on-climate-change http://reference.data.gov.uk/id/public-body/committee-on-climate-change
competition-commission,Competition Commission,2011-03-31 2011-09-30 2012-03-31 2012-09-30,http://reference.data.gov.uk/id/public-body/competition-commission http://reference.data.gov.uk/id/public-body/competition-commission http://reference.data.gov.uk/id/public-body/competition-commission http://reference.data.gov.uk/id/public-body/competition-commission
construction-industry-training-board,Construction Industry Training Board,2012-09-30 2013-09-30,http://reference.data.gov.uk/id/public-body/citb-constructionskills http://reference.data.gov.uk/id/public-body/citb
consumer-council-for-water,Consumer Council for Water,2011-03-31 2011-09-30 2012-03-31 2013-09-30 2014-03-31 2014-09-30,http://reference.data.gov.uk/id/public-body/ccwater http://reference.data.gov.uk/id/public-body/ccwater http://reference.data.gov.uk/id/public-body/ccwater http://reference.data.gov.uk/id/public-body/ccwater http://reference.data.gov.uk/id/public-body/ccwater http://reference.data.gov.uk/id/public-body/ccwater
consumer-futures,Consumer Futures,2011-09-30 2012-03-31 2012-09-30 2013-03-31,http://reference.data.gov.uk/id/public-body/consumer-focus http://reference.data.gov.uk/id/public-body/consumer-focus http://reference.data.gov.uk/id/public-body/consumer-focus http://reference.data.gov.uk/id/public-body/consumer-futures
council-for-healthcare-regulatory-excellence,Council for Healthcare Regulatory Excellence,2011-03-31 2011-09-30,http://reference.data.gov.uk/id/public-body/council-for-healthcare-regulatory-excellence http://reference.data.gov.uk/id/public-body/council-for-healthcare-regulatory-excellence
criminal-cases-review-commission,Criminal Cases Review Commission,2011-03-31 2011-09-30 2012-03-31 2012-09-30 2013-03-31 2014-09-30,http://reference.data.gov.uk/id/public-body/criminal-cases-review-commission http://reference.data.gov.uk/id/public-body/criminal-cases-review-commission http://reference.data.gov.uk/id/public-body/criminal-cases-review-commission http://reference.data.gov.uk/id/public-body/criminal-cases-review-commission http://reference.data.gov.uk/id/public-body/criminal-cases-review-commission http://reference.data.gov.uk/id/public-body/criminal-cases-review-commission
criminal-injuries-compensation-authority,Criminal Injuries Compensation Authority,2011-03-31 2011-09-30 2012-03-31 2012-09-30 2013-09-30 2014-03-31 2014-09-30,http://reference.data.gov.uk/id/public-body/criminal-injuries-compensation-authority http://reference.data.gov.uk/id/public-body/criminal-injuries-compensation-authority http://reference.data.gov.uk/id/public-body/criminal-injuries-compensation-authority http://reference.data.gov.uk/id/public-body/criminal-injuries-compensation-authority http://reference.data.gov.uk/id/public-body/criminal-injuries-compensation-authority http://reference.data.gov.uk/id/public-body/criminal-injuries-compensation-authority http://reference.data.gov.uk/id/public-body/criminal-injuries-compensation-authority
