alias,name
http://reference.data.gov.uk/id/public-body/horniman-museum-gardens,Horniman Public Museum & Public Park Trust
http://reference.data.gov.uk/id/public-body/hs-ltd,High Speed 2 Limited
http://reference.data.gov.uk/id/public-body/imperial-war-museums,Imperial War Museum
http://reference.data.gov.uk/id/public-body/independent-housing-ombudsman-limited,Independent Housing Ombudsman
http://reference.data.gov.uk/id/public-body/judcial-office-for-england-and-wales,Judicial Office
http://reference.data.gov.uk/id/public-body/judicial-office-for-england-and-wales,Judicial Office
http://reference.data.gov.uk/id/public-body/legal-aid-agency,Legal Aid Agency
http://reference.data.gov.uk/id/public-body/ltgdc,London Thames Gateway Development Corporation
http://reference.data.gov.uk/id/public-body/mhra,Medicines and Healthcare products Regulatory Agency
http://reference.data.gov.uk/id/public-body/midlands-and-lancashire-commissioning-support-unit,NHS Midlands and Lancashire CSU
http://reference.data.gov.uk/id/public-body/national-college-for-school-leadership,National College for School Leadership
http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-care-excellence,National Institute for Health and Care Excellence
http://reference.data.gov.uk/id/public-body/national-institute-for-health-and-clinical-excelle,National Institute for Health and Care Excellence
http://reference.data.gov.uk/id/public-body/national-offender-management-service-noms,National Offender Management Service
http://reference.data.gov.uk/id/public-body/national-treatment-agency,National Treatment Agency for Substance Misuse
http://reference.data.gov.uk/id/public-body/nda,Nuclear Decommissioning Authority
http://reference.data.gov.uk/id/public-body/nhs-arden-commissioning-supoprt,NHS Arden CSU
http://reference.data.gov.uk/id/public-body/nhs-greater-east-midlands-commissioning-support-unit,NHS Greater East Midlands CSU
http://reference.data.gov.uk/id/public-body/nhs-la,NHS Litigation Authority
http://reference.data.gov.uk/id/public-body/nhs-south-commissioning-support-unit,NHS South CSU
http://reference.data.gov.uk/id/public-body/north-of-england-commissioning-support-unit,NHS North of England CSU
http://reference.data.gov.uk/id/public-body/north-yorkshire-and-humber-commissioning-support-unit,NHS North Yorkshire and Humber CSU
http://reference.data.gov.uk/id/public-body/npia,National Policing Improvement Agency
http://reference.data.gov.uk/id/public-body/office-of-the-immigration-services-commissioner-oisc,Office of the Immigration Services Commissioner
http://reference.data.gov.uk/id/public-body/office-of-the-pensions-ombudsman,Pensions Ombudsman
http://reference.data.gov.uk/id/public-body/ofqual,Office of Qualifications and Examinations Regulation
http://reference.data.gov.uk/id/public-body/parades-commission-for-northern-ireland,Parades Commission for Northern Ireland
http://reference.data.gov.uk/id/public-body/passenger-focus,Transport Focus
http://reference.data.gov.uk/id/public-body/prison--probation-ombudsman,Prisons and Probation Ombudsman
http://reference.data.gov.uk/id/public-body/prison-and-probation-ombudsman,Prisons and Probation Ombudsman
http://reference.data.gov.uk/id/public-body/prison-probation-ombudsman,Prisons and Probation Ombudsman
http://reference.data.gov.uk/id/public-body/royal-museums-greenwich,Royal Museums Greenwich
http://reference.data.gov.uk/id/public-body/science-museum-group,Science Museum Group
http://reference.data.gov.uk/id/public-body/scottish-law-commission,Scottish Law Commission
http://reference.data.gov.uk/id/public-body/sia,Security Industry Authority
http://reference.data.gov.uk/id/public-body/sir-john-soanes-museum,Sir John Soane's Museum
http://reference.data.gov.uk/id/public-body/soca,Serious Organised Crime Agency
http://reference.data.gov.uk/id/public-body/south-west-commissioning-support-unit,NHS South West CSU
http://reference.data.gov.uk/id/public-body/student-loans-company,Student Loans Company Limited
http://reference.data.gov.uk/id/public-body/the-parole-board-for-england-wales,Parole Board
http://reference.data.gov.uk/id/public-body/the-pensions-advisory-service-ltd,The Pensions Advisory Service
http://reference.data.gov.uk/id/public-body/trinity-house,Trinity House Lighthouse Service
http://reference.data.gov.uk/id/public-body/uk-atomic-energy-authority,United Kingdom Atomic Energy Authority
http://reference.data.gov.uk/id/public-body/uk-dmo,UK Debt Management Office
http://reference.data.gov.uk/id/public-body/visitbritain,British Tourist Authority
http://reference.data.gov.uk/id/public-body/visitengland,Visit England
