version,org_name,xls_path,upload_date,state,action_datetime,xls-filename,junior-csv-filename,senior-csv-filename
30/09/2011,Capital for Enterprise Ltd,/data/capitalforenterprise/2011-09-30/Government-staff-and-salary-data-blank-template---October-2011.xls,2011-12-04T00:00:00,published,2011-12-04T18:42:00,capital_for_enterprise_ltd-30-09-2011.xls,capital_for_enterprise_ltd-30-09-2011-junior.csv,capital_for_enterprise_ltd-30-09-2011-senior.csv
30/09/2011,Competition Commission,/data/cc/2011-09-30/300911-Competition-Commission-staff-and-salary-data---October-2011.xls,2011-12-04T00:00:00,published,2011-12-04T18:43:00,competition_commission-30-09-2011.xls,competition_commission-30-09-2011-junior.csv,competition_commission-30-09-2011-senior.csv
30/09/2011,UK Atomic Energy Authority,/data/ccfe/2011-09-30/300911---UK-Atomic-Energy-Authority---Organogram-v1.xls,2011-12-04T00:00:00,published,2011-12-04T18:43:00,uk_atomic_energy_authority-30-09-2011.xls,uk_atomic_energy_authority-30-09-2011-junior.csv,uk_atomic_energy_authority-30-09-2011-senior.csv
30/09/2011,CCWater,/data/ccwater/2011-09-30/CCWater-Organogram---30-Sept-2011.xls,2011-12-04T00:00:00,published,2011-12-04T18:45:00,ccwater-30-09-2011.xls,ccwater-30-09-2011-junior.csv,ccwater-30-09-2011-senior.csv
30/09/2011,CEFAS,/data/cefas/2011-09-30/Cefas-government-staff-and-salary-data----October-2011.xls,2011-12-04T00:00:00,published,2011-12-04T18:45:00,cefas-30-09-2011.xls,cefas-30-09-2011-junior.csv,cefas-30-09-2011-senior.csv
30/09/2011,Child Maintenance and Enforcement Commission,/data/childmaintenance/2011-09-30/Template---Final.xls,2011-12-04T00:00:00,published,2011-12-04T18:46:00,child_maintenance_and_enforcement_commission-30-09-2011.xls,child_maintenance_and_enforcement_commission-30-09-2011-junior.csv,child_maintenance_and_enforcement_commission-30-09-2011-senior.csv
30/09/2011,Council for Healthcare Regulatory Excellence,/data/chre/2011-09-30/CHRE-staff-September-2011.xls,2011-12-07T00:00:00,published,2011-12-07T10:32:00,council_for_healthcare_regulatory_excellence-30-09-2011.xls,council_for_healthcare_regulatory_excellence-30-09-2011-junior.csv,council_for_healthcare_regulatory_excellence-30-09-2011-senior.csv
30/09/2011,CNPA/Civil Nuclear Constabulary,/data/cnc/2011-09-30/Copy-of-government-staff-and-salary-data-template2---September-2011.xls,2011-12-05T00:00:00,published,2011-12-05T14:00:00,cnpa_civil_nuclear_constabulary-30-09-2011.xls,cnpa_civil_nuclear_constabulary-30-09-2011-junior.csv,cnpa_civil_nuclear_constabulary-30-09-2011-senior.csv
30/09/2011,The Coal Authority,/data/coal/2011-09-30/TCA-final-government-staff-and-salary-data---291111.xls,2011-12-04T00:00:00,published,2011-12-04T18:48:00,the_coal_authority-30-09-2011.xls,the_coal_authority-30-09-2011-junior.csv,the_coal_authority-30-09-2011-senior.csv
30/09/2011,The Planning Inspectorate,/data/communities/2011-09-30/Copy-of-government-staff-and-salary-data-blank-template---October-2011.xls,2011-12-04T00:00:00,published,2011-12-04T18:48:00,the_planning_inspectorate-30-09-2011.xls,the_planning_inspectorate-30-09-2011-junior.csv,the_planning_inspectorate-30-09-2011-senior.csv
30/09/2011,Department for Communities and Local Government,/data/communities/2011-09-30/DCLG-Organogram-Data-Template---October-2011.xls,2011-12-04T00:00:00,published,2011-12-04T18:49:00,department_for_communities_and_local_government-30-09-2011.xls,department_for_communities_and_local_government-30-09-2011-junior.csv,department_for_communities_and_local_government-30-09-2011-senior.csv
30/09/2011,Consumer Focus,/data/consumerfocus/2011-09-30/CF-government-staff-and-salary-data-blank-template---Sept-2011.xls,2011-12-23T00:00:00,published,2011-12-23T08:16:00,consumer_focus-30-09-2011.xls,consumer_focus-30-09-2011-junior.csv,consumer_focus-30-09-2011-senior.csv
30/09/2011,Crown Prosecution Service,/data/cps/2011-09-30/300911-CPS-Organogramv1.xls,2011-12-04T00:00:00,published,2011-12-04T18:50:00,crown_prosecution_service-30-09-2011.xls,crown_prosecution_service-30-09-2011-junior.csv,crown_prosecution_service-30-09-2011-senior.csv
30/09/2011,Care Quality Commission,/data/cqc/2011-09-30/300911-CQC-organogram-v2.0-(05-Dec-11).xls,2012-01-31T00:00:00,published,2012-01-31T14:51:00,care_quality_commission-30-09-2011.xls,care_quality_commission-30-09-2011-junior.csv,care_quality_commission-30-09-2011-senior.csv
30/09/2011,"Department for Culture, Media and Sport",/data/culture/2011-09-30/DCMS-FINAL-DATA-30-11-11-government-staff-and-salary-data.xls,2011-12-13T00:00:00,published,2011-12-13T15:09:00,department_for_culture_media_and_sport-30-09-2011.xls,department_for_culture_media_and_sport-30-09-2011-junior.csv,department_for_culture_media_and_sport-30-09-2011-senior.csv
30/09/2011,Children's Workforce Development Council (CWDC),/data/cwdcouncil/2011-09-30/CWDC-government-staff-and-salary-data-blank-template.xls,2011-12-12T00:00:00,published,2011-12-12T11:23:00,childrens_workforce_development_council_cwdc-30-09-2011.xls,childrens_workforce_development_council_cwdc-30-09-2011-junior.csv,childrens_workforce_development_council_cwdc-30-09-2011-senior.csv
30/09/2011,Department of Energy and Climate Change,/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls,2012-02-24T00:00:00,published,2012-02-24T17:07:00,department_of_energy_and_climate_change-30-09-2011.xls,department_of_energy_and_climate_change-30-09-2011-junior.csv,department_of_energy_and_climate_change-30-09-2011-senior.csv
30/09/2011,"Department for Environment, Food and Rural Affairs",/data/defra/2011-09-30/government-staff-and-salary-data-template---October-2011---Defra---Revised.xls,2011-12-12T00:00:00,published,2011-12-12T12:50:00,department_for_environment_food_and_rural_affairs-30-09-2011.xls,department_for_environment_food_and_rural_affairs-30-09-2011-junior.csv,department_for_environment_food_and_rural_affairs-30-09-2011-senior.csv
30/09/2011,DFID,/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls,2011-12-19T00:00:00,published,2011-12-19T14:34:00,dfid-30-09-2011.xls,dfid-30-09-2011-junior.csv,dfid-30-09-2011-senior.csv
30/09/2011,Department of Health,/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls,2012-01-24T00:00:00,published,2012-01-24T13:28:00,department_of_health-30-09-2011.xls,department_of_health-30-09-2011-junior.csv,department_of_health-30-09-2011-senior.csv
30/09/2011,UK DMO,/data/dmo/2011-09-30/300911-DMO-Organogram---ver-2.xls,2011-12-04T00:00:00,published,2011-12-04T19:00:00,uk_dmo-30-09-2011.xls,uk_dmo-30-09-2011-junior.csv,uk_dmo-30-09-2011-senior.csv
30/09/2011,Defence Support Group (DSG),/data/dsg/2011-09-30/Government-staff-and-salary-data--template---October-2011.xls,2011-12-04T00:00:00,published,2011-12-04T19:01:00,defenc
