,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
104,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,G,54565,69721,Deputy Group Director,1.0,Science and Engineering
105,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,G,54565,69721,Group Deputy Director,1.0,Science and Engineering
106,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,G,54565,69721,Head of Branch/Unit,1.0,Science and Engineering
107,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,G,54565,69721,Science Delivery/Strategy and Policy Manager,0.6,Science and Engineering
108,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Swindon Office,SO1,PC2,66000,85280,Senior Finance  Manager,1.0,Finance
109,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,John Innes Centre,JIC1,PC1,90100,104000,Scientist,2.0,Science and Engineering
110,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,John Innes Centre,JIC1,PC2,66000,85280,Scientist,11.1,Science and Engineering
111,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,John Innes Centre,JIC1,G,54565,69721,Programme Leader,9.5,Science and Engineering
112,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,John Innes Centre,JIC1,F,42769,54649,Senior Scientist,15.0,Science and Engineering
113,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,John Innes Centre,JIC1,F,42769,54649,Business Manager,0.1,Science and Engineering
114,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,John Innes Centre,JIC1,E,35282,43164,Scientist,33.4,Science and Engineering
115,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,John Innes Centre,JIC1,E,35282,43164,Communications Manager,1.0,Communications
116,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,John Innes Centre,JIC1,D,27792,34002,Post Doctoral Scientist,61.4,Science and Engineering
117,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,John Innes Centre,JIC1,C,22504,26958,Science Support,13.9,Science and Engineering
118,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,John Innes Centre,JIC1,C,22504,26958,Administrator,6.6,Operational Delivery
119,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,John Innes Centre,JIC1,B,17493,20956,Science Support,1.6,Science and Engineering
120,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,John Innes Centre,JIC1,B,17493,20956,Horticulture Workers,13.5,Operational Delivery
121,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,John Innes Centre,JIC1,B,17493,20956,Admin Assistant,1.0,Operational Delivery
122,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,John Innes Centre,JIC1,A,14650,16847,Science Support,5.5,Science and Engineering
123,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Institute of Food Research,IFR1,PC2,66000,85280,Scientist,0.2,Science and Engineering
124,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Institute of Food Research,IFR1,G,54565,69721,Programme Leader,4.0,Science and Engineering
125,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Institute of Food Research,IFR1,F,42769,54649,Senior Scientist,12.9,Science and Engineering
126,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Institute of Food Research,IFR1,E,35282,43164,Communications Manager,1.0,Communications
