,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
46,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,EO (London),24093,27809,Assistant Accountant,1.0,Finance
47,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,EO (London),24093,27809,Data Information Officer,1.0,Operational Delivery
48,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,EO (London),24093,27809,Divisional Support Officer,1.0,Operational Delivery
49,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,EO (London),24093,27809,Facilities Manager,1.0,Operational Delivery
50,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,EO (London),24093,27809,Financial Assistant Accountant,2.0,Finance
51,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,EO (London),24093,27809,Governance Support Officer,1.0,Operational Delivery
52,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,EO (London),24093,27809,Planning Support Officer,1.0,Operational Delivery
53,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,EO (London),24093,27809,Procurement Officer,1.0,Finance
54,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,EO (London),24093,27809,Project Support Officer - Flexible Resource Team,0.86,Operational Delivery
55,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,G6 (London),59991,73524,Head of Communications,1.0,Communications
56,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,G6 (London),59991,73524,Head of ICT & FM,1.0,Information Technology
57,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,G7 (London),49526,60573,Chief Accountant,1.0,Finance
58,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,G7 (London),49526,60573,Head of Analysis,2.0,Operational Delivery
59,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,G7 (London),49526,60573,Head of Communications,1.0,Communications
60,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,G7 (London),49526,60573,Head of Flexible Resource Team,1.0,Operational Delivery
61,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,G7 (London),49526,60573,Head of Information,1.0,Operational Delivery
62,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,HEO (London),29365,34009,Accounts Payable Supervisor,1.0,Finance
63,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,HEO (London),29365,34009,Briefing and Enquiries Officer,1.0,Operational Delivery
64,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,HEO (London),29365,34009,Data Analyst,1.0,Operational Delivery
65,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,HEO (London),29365,34009,Financial Accountant,6.0,Finance
66,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,HEO (London),29365,34009,Information Adviser (Secure Estates Data Lead),1.0,Operational Delivery
67,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,HEO (London),29365,34009,Information Adviser (YJMIS Report Writer),3.35,Operational Delivery
68,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,HEO (London),29365,34009,Information Adviser (YOT Data Lead),3.0,Operational Delivery
