,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
268,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Machinist Metal,18010,22150,Technical [Trades] ,1.0,Science and Engineering
269,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Maintenance Technician,18010,22150,Technical [Trades] ,2.0,Science and Engineering
270,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Mechanic Vehicle,18010,22150,Technical [Trades] ,1.0,Science and Engineering
271,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Metal Worker,18010,22150,Technical [Trades] ,1.0,Science and Engineering
272,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Painter,18010,22150,Technical [Trades] ,1.0,Science and Engineering
273,Ministry of Defence,Ministry of Defence,Navy Command,1105340,RFA Craftperson,18010,22150,Technical [Trades] ,2.0,Science and Engineering
274,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Safety Equipment Worker,18010,22150,Technical [Trades] ,1.0,Science and Engineering
275,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Sailmaker,18010,22150,Technical [Trades] ,1.0,Science and Engineering
276,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Shipwright,18010,22150,Technical [Trades] ,2.0,Science and Engineering
277,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Slinger,18010,22150,Technical [Trades] ,1.0,Science and Engineering
278,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Storekeeper,18010,22150,Technical [Trades] ,1.0,Science and Engineering
279,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Welder,18010,22150,Technical [Trades] ,2.0,Science and Engineering
280,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Armourer,18010,22150,Through Life Support,1.0,Operational Delivery
281,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Storekeeper,18010,22150,Through Life Support,1.0,Operational Delivery
282,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Messenger,16482,18010,Administrative Support,2.0,Operational Delivery
283,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Writing Duties,16482,18010,Administrative Support,1.0,Operational Delivery
284,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Experimental Worker,18010,22150,AeroEng(Aero/Struct/Mech),2.0,Science and Engineering
285,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Storehouse Assistant,16482,18010,Afloat Support,1.0,Operational Delivery
286,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Storekeeper,18010,22150,Afloat Support,6.0,Operational Delivery
287,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Leisure Attendant,16482,18010,Community Service ,2.12,Operational Delivery
288,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Driver,18010,22150,Customer Services,2.0,Operational Delivery
289,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Leisure Attendant,16482,18010,Customer Services,0.81,Operational Delivery
290,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Driver,18010,22150,Driving ,13.0,Operational Delivery
291,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Storekeeper,18010,22150,Inventory Management,2.0,Operational Delivery
292,Ministry of Defence,Ministry of Defence,Navy Command,1105340,RFA Senior Storekeeper,16482,18010,Logistics Management ,1.0,Operational Delivery
293,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Able Seaperson,16482,18010,Logistics [Trades] ,1.0,Operational Delivery
294,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Boatperson,16482,18010,Logistics [Trades] ,2.0,Operational Delivery
295,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Able Seaperson,16482,18010,Port Operations ,3.0,Operational Delivery
296,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Range Warden,16482,18010,Range Management ,2.0,Property and asset management
297,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Leisure Attendant,16482,18010,"Safety,Health,Enviroment&Fire",5.54,Operational Delivery
298,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Storekeeper,18010,22150,Soft Facilities Management,1.0,Property and asset management
299,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Fabric Worker,16482,18010,Storekeeping/WarehouseOps,1.0,Operational Delivery
300,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Firepatrolperson,16482,18010,Storekeeping/WarehouseOps,1.0,Operational Delivery
301,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Logistics Officer,16482,18010,Storekeeping/WarehouseOps,1.0,Operational Delivery
302,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Storekeeper,18010,22150,Storekeeping/WarehouseOps,98.0,Operational Delivery
303,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Boat Repairer,16482,18010,Technical [Trades] ,2.0,Science and Engineering
304,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Craft Auxiliary,16482,18010,Technical [Trades] ,3.0,Science and Engineering
305,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Driver,18010,22150,Technical [Trades] ,4.0,Science and Engineering
306,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Experimental Worker,18010,22150,Technical [Trades] ,1.0,Science and Engineering
307,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Film Operator Examiner,16482,18010,Technical [Trades] ,1.0,Science and Engineering
308,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Storekeeper,18010,22150,Technical [Trades] ,1.0,Science and Engineering
309,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Wiring Duties,16482,18010,Technical [Trades] ,2.0,Science and Engineering
310,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Writing Duties,16482,18010,Technical [Trades] ,2.0,Science and Engineering
311,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Caretaker,15083,16482,Administrative Support,4.0,Operational Delivery
312,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Messenger,16482,18010,Administrative Support,3.0,Operational Delivery
313,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Writing Duties,16482,18010,Administrative Support,1.5,Operational Delivery
314,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Labourer,15083,16482,Building ,1.0,Property and asset management
315,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Verger,15083,16482,Community Service ,1.0,Operational Delivery
316,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Driver,18010,22150,Driving ,3.0,Operational Delivery
317,Ministry of Defence,Ministry of Defence,Navy Command,1105340,General Hand,15083,16482,Logistics Management ,1.0,Operational Delivery
318,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Shipkeeper,15083,16482,Logistics [Trades] ,23.0,Operational Delivery
319,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Gardener,15083,16482,Natural Environment,1.0,Operational Delivery
320,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Messenger,16482,18010,Postal & Courier,3.0,Operational Delivery
321,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Writing Duties,16482,18010,Postal & Courier,1.0,Operational Delivery
322,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Range Warden,16482,18010,Range Management ,1.0,Property and asset management
323,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Driver,18010,22150,Site Estate ,3.0,Property and asset management
324,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Fire Fighting Equpt Maintainer,15083,16482,Site Estate ,1.0,Property and asset management
325,Ministry of Defence,Ministry of Defence,Navy Command,1105340,General Hand,15083,16482,Site Estate ,1.0,Property and asset management
326,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Janitor,15083,16482,Site Estate ,2.0,Property and asset management
327,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Labourer,15083,16482,Site Estate ,1.0,Property and asset management
328,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Verger,15083,16482,Site Estate ,0.54,Property and asset management
329,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Caretaker,15083,16482,Soft Facilities Management,2.43,Property and asset management
330,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Cleaner,15083,16482,Soft Facilities Management,10.68,Property and asset management
331,Ministry of Defence,Ministry of Defence,Navy Command,1105340,General Hand,15083,16482,Soft Facilities Management,2.0,Property and asset management
332,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Janitor,15083,16482,Soft Facilities Management,0.5,Property and asset management
333,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Messenger,16482,18010,Soft Facilities Management,4.85,Property and asset management
334,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Post Orderly,15083,16482,Soft Facilities Management,1.0,Property and asset management
335,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Steward,18010,22150,Soft Facilities Management,1.0,Property and asset management
336,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Storekeeper,18010,22150,Soft Facilities Management,1.0,Property and asset management
337,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Messenger,16482,18010,Storekeeping/WarehouseOps,0.54,Operational Delivery
338,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Storekeeper,18010,22150,Storekeeping/WarehouseOps,3.0,Operational Delivery
339,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Craft Auxiliary,16482,18010,Technical [Trades] ,3.0,Science and Engineering
340,Ministry of Defence,Ministry of Defence,Navy Command,1105340,General Hand,15083,16482,Technical [Trades] ,8.33,Science and Engineering
341,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Labourer,15083,16482,Technical [Trades] ,1.0,Science and Engineering
342,Ministry of Defence,Ministry of Defence,Navy Command,1105340,B2 MSF,47942,59535,Business Management,2.0,Operational Delivery
343,Ministry of Defence,Ministry of Defence,Navy Command,1105340,C1 MSF,35648,44268,Business Management,0.6,Operational Delivery
344,Ministry of Defence,Ministry of Defence,Navy Command,1105340,C1 MSF,35648,44268,Community Service ,1.0,Operational Delivery
345,Ministry of Defence,Ministry of Defence,Navy Command,1105340,C1 MSF,35648,44268,Direct Military Support,5.0,Operational Delivery
346,Ministry of Defence,Ministry of Defence,Navy Command,1105340,C1 MSF,35648,44268,EnvironmentalManagementAssessm,1.0,Operational Delivery
347,Ministry of Defence,Ministry of Defence,Navy Command,1105340,C1 MSF,35648,44268,Service HR Service Provider,1.0,Human Resources
348,Ministry of Defence,Ministry of Defence,Navy Command,1105340,C1 MSF,35648,44268,Through Life Support,1.0,Operational Delivery
349,Ministry of Defence,Ministry of Defence,Navy Command,1105340,C2 MSF,29258,36333,Administrative Support,7.0,Operational Delivery
350,Ministry of Defence,Ministry of Defence,Navy Command,1105340,C2 MSF,29258,36333,Business Management,5.0,Operational Delivery
351,Ministry of Defence,Ministry of Defence,Navy Command,1105340,C2 MSF,29258,36333,Community Service ,5.0,Operational Delivery
352,Ministry of Defence,Ministry of Defence,Navy Command,1105340,C2 MSF,29258,36333,Direct Military Support,7.6,Operational Delivery
353,Ministry of Defence,Ministry of Defence,Navy Command,1105340,C2 MSF,29258,36333,Historical ,1.0,Knowledge and Information Management (KIM)
354,Ministry of Defence,Ministry of Defence,Navy Command,1105340,C2 MSF,29258,36333,Internal Communications,1.0,Communications
355,Ministry of Defence,Ministry of Defence,Navy Command,1105340,C2 MSF,29258,36333,Marine Engineering ,1.0,Science and Engineering
356,Ministry of Defence,Ministry of Defence,Navy Command,1105340,C2 MSF,29258,36333,Obsolete Security ,1.0,Operational Delivery
357,Ministry of Defence,Ministry of Defence,Navy Command,1105340,C2 MSF,29258,36333,Operational Analysis,1.0,Science and Engineering
358,Ministry of Defence,Ministry of Defence,Navy Command,1105340,C2 MSF,29258,36333,Performance Management,1.0,Internal Audit
359,Ministry of Defence,Ministry of Defence,Navy Command,1105340,C2 MSF,29258,36333,"Safety,Health,Enviroment&Fire",1.0,Operational Delivery
360,Ministry of Defence,Ministry of Defence,Navy Command,1105340,C2 MSF,29258,36333,Teaching ,5.0,Operational Delivery
361,Ministry of Defence,Ministry of Defence,Navy Command,1105340,C2 MSF,29258,36333,Through Life Support,1.0,Operational Delivery
362,Ministry of Defence,Ministry of Defence,Navy Command,1105340,C2 MSF,29258,36333,Training Support,6.0,Operational Delivery
363,Ministry of Defence,Ministry of Defence,Navy Command,1105340,D MSF,23427,29092,Administrative Support,2.0,Operational Delivery
364,Ministry of Defence,Ministry of Defence,Navy Command,1105340,D MSF,23427,29092,Business Management,2.0,Operational Delivery
365,Ministry of Defence,Ministry of Defence,Navy Command,1105340,D MSF,23427,29092,Direct Military Support,2.0,Operational Delivery
366,Ministry of Defence,Ministry of Defence,Navy Command,1105340,D MSF,23427,29092,Obsolete Security ,5.0,Operational Delivery
367,Ministry of Defence,Ministry of Defence,Navy Command,1105340,D MSF,23427,29092,Security Management,4.0,Operational Delivery
368,Ministry of Defence,Ministry of Defence,Navy Command,1105340,D MSF,23427,29092,Service HR Service Provider,1.0,Human Resources
369,Ministry of Defence,Ministry of Defence,Navy Command,1105340,JNC Lvl 3 (Youth Worker) 2-5,30219,32847,Community Service ,1.0,Operational Delivery
370,Ministry of Defence,Ministry of Defence,Navy Command,1105340,G7/Health Physicist,62881,62881,Business Management,1.0,Operational Delivery
371,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Lecturer,30136,38172,Teaching ,0.72,Operational Delivery
372,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Lecturer,30136,38172,Training Support,1.0,Operational Delivery
373,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Pharmacy Technician,18402,21798,Pharmacy,2.0,Medicine
374,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Band 5,21176,27625,Information Assurance,1.0,Knowledge and Information Management (KIM)
375,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Band 5,21176,27625,Nursing and Midwifery,1.67,Medicine
376,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Nurse (GP Practice),21176,27625,Nursing and Midwifery,2.0,Medicine
377,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Nurse Specialist (Community),25528,34189,Business Management,1.0,Operational Delivery
378,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Nurse Spec Mental Health Comm,25528,34189,Clinical Psychology,1.0,Psychology
379,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Band 6,25528,34189,Medical Technical ,1.0,Medicine
380,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Healthcare Scientist Specialst,25528,34189,Medical Technical ,1.74,Medicine
381,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Band 6,25528,34189,Nursing and Midwifery,0.4,Medicine
382,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Nurse Specialist (GP Practice),25528,34189,Nursing and Midwifery,2.51,Medicine
383,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Nurse Team Leader,25528,34189,Nursing and Midwifery,1.0,Medicine
384,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Band 6,25528,34189,Physiotherapy ,1.0,Medicine
385,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Physiothrpst Specialist,25528,34189,Physiotherapy ,13.55,Medicine
386,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Band 7,30460,40157,Physiotherapy ,1.0,Medicine
387,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Physiotherapist Advanced,30460,40157,Physiotherapy ,2.0,Medicine
388,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Band 7,30460,40157,Radiography ,0.7,Medicine
389,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Band 8A,38851,46621,Pharmacy,1.0,Medicine
390,Ministry of Defence,Ministry of Defence,Navy Command,1105340,DM SZ3,18010,22150,Technical [Trades] ,1.0,Science and Engineering
391,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Y&C Wkr (Unq),15324,23485,Community Development Work,1.0,Operational Delivery
392,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Prof Qualified Worker Lvl 2a,23248,25280,Community Development Work,1.0,Operational Delivery
393,Ministry of Defence,Ministry of Defence,Navy Command,1105340,Prof Qualified Worker Lvl 2a,23248,25280,Community Service ,1.0,Operational Delivery
394,Ministry of Defence,Ministry of Defence,Navy Command,1105340,ASST (CK),30248,30248,Direct Military Support,70.0,Operational Delivery
395,Ministry of Defence,Ministry of Defence,Navy Command,1105340,CR1,28690,28690,Direct Military Support,86.0,Operational Delivery
396,Ministry of Defence,Ministry of Defence,Navy Command,1105340,LAUNDRYMAN,27537,27537,Direct Military Support,33.0,Operational Delivery
397,Ministry of Defence,Ministry of Defence,Navy Command,1105340,MM1,28615,28615,Direct Military Support,144.0,Operational Delivery
398,Ministry of Defence,Ministry of Defence,Navy Command,1105340,SG1A,28568,28568,Direct Military Support,246.0,Operational Delivery
399,Ministry of Defence,Ministry of Defence,Navy Command,1105340,SG1B,26449,26449,Direct Military Support,34.0,Operational Delivery
400,Ministry of Defence,Ministry of Defence,Navy Command,1105340,STWD,27966,27966,Direct Military Support,137.0,Operational Delivery
401,Ministry of Defence,Ministry of Defence,Navy Command,1105340,LH (AA),29747,29747,Direct Military Support,8.0,Operational Delivery
402,Ministry of Defence,Ministry of Defence,Navy Command,1105340,LH (C),32110,32110,Direct Military Support,34.0,Operational Delivery
403,Ministry of Defence,Ministry of Defence,Navy Command,1105340,LH (CK),31848,31848,Direct Military Support,23.0,Operational Delivery
404,Ministry of Defence,Ministry of Defence,Navy Command,1105340,LH (D),30106,30106,Direct Military Support,44.0,Operational Delivery
405,Ministry of Defence,Ministry of Defence,Navy Command,1105340,LH (E),30735,30735,Direct Military Support,33.0,Operational Delivery
406,Ministry of Defence,Ministry of Defence,Navy Command,1105340,LH (HC),30328,30328,Direct Military Support,15.0,Operational Delivery
407,Ministry of Defence,Ministry of Defence,Navy Command,1105340,LH (SA),30231,30231,Direct Military Support,20.0,Operational Delivery
408,Ministry of Defence,Ministry of Defence,Navy Command,1105340,LH (STWD),32828,32828,Direct Military Support,14.0,Operational Delivery
409,Ministry of Defence,Ministry of Defence,Navy Command,1105340,PO (C),36572,36572,Direct Military Support,15.0,Operational Delivery
410,Ministry of Defence,Ministry of Defence,Navy Command,1105340,PO (CK),34858,34858,Direct Military Support,13.0,Operational Delivery
411,Ministry of Defence,Ministry of Defence,Navy Command,1105340,PO (D),33717,33717,Direct Military Support,28.0,Operational Delivery
412,Ministry of Defence,Ministry of Defence,Navy Command,1105340,PO (E),34291,34291,Direct Military Support,65.0,Operational Delivery
413,Ministry of Defence,Ministry of Defence,Navy Command,1105340,MED TECH,36152,36152,Direct Military Support,22.0,Operational Delivery
414,Ministry of Defence,Ministry of Defence,Navy Command,1105340,PO (SA),34720,34720,Direct Military Support,14.0,Operational Delivery
415,Ministry of Defence,Ministry of Defence,Navy Command,1105340,PO (STWD),33924,33924,Direct Military Support,9.0,Operational Delivery
416,Ministry of Defence,Ministry of Defence,Navy Command,1105340,CPO (C),40217,40217,Direct Military Support,9.0,Operational Delivery
417,Ministry of Defence,Ministry of Defence,Navy Command,1105340,CPO (CARP),38492,38492,Direct Military Support,1.0,Operational Delivery
418,Ministry of Defence,Ministry of Defence,Navy Command,1105340,CPO (CK),37538,37538,Direct Military Support,22.0,Operational Delivery
419,Ministry of Defence,Ministry of Defence,Navy Command,1105340,CPO (D),38380,38380,Direct Military Support,25.0,Operational Delivery
420,Ministry of Defence,Ministry of Defence,Navy Command,1105340,CPO (E),38757,38757,Direct Military Support,21.0,Operational Delivery
421,Ministry of Defence,Ministry of Defence,Navy Command,1105340,CPO (SA),39941,39941,Direct Military Support,7.0,Operational Delivery
422,Ministry of Defence,Ministry of Defence,Navy Command,1105340,CPO (STWD),38831,38831,Direct Military Support,4.0,Operational Delivery
423,Ministry of Defence,Ministry of Defence,Navy Command,1105340,3/O (C),43908,43908,Direct Military Support,17.0,Operational Delivery
424,Ministry of Defence,Ministry of Defence,Navy Command,1105340,3/O (E),36601,36601,Direct Military Support,75.0,Operational Delivery
425,Ministry of Defence,Ministry of Defence,Navy Command,1105340,3/O (LS),40860,40860,Direct Military Support,12.0,Operational Delivery
426,Ministry of Defence,Ministry of Defence,Navy Command,1105340,3/O (SE),38020,38020,Direct Military Support,17.0,Operational Delivery
427,Ministry of Defence,Ministry of Defence,Navy Command,1105340,3/O (X),35022,35022,Direct Military Support,55.0,Operational Delivery
428,Ministry of Defence,Ministry of Defence,Navy Command,1105340,2/O (E),44297,44297,Direct Military Support,40.0,Operational Delivery
429,Ministry of Defence,Ministry of Defence,Navy Command,1105340,2/O (LS),48807,48807,Direct Military Support,17.0,Operational Delivery
430,Ministry of Defence,Ministry of Defence,Navy Command,1105340,2/O (SE),46382,46382,Direct Military Support,39.0,Operational Delivery
431,Ministry of Defence,Ministry of Defence,Navy Command,1105340,2/O (C),48701,48701,Direct Military Support,12.0,Operational Delivery
432,Ministry of Defence,Ministry of Defence,Navy Command,1105340,2/O (X),44509,44509,Direct Military Support,41.0,Operational Delivery
433,Ministry of Defence,Ministry of Defence,Navy Command,1105340,1/O (E),56263,56263,Direct Military Support,18.0,Operational Delivery
434,Ministry of Defence,Ministry of Defence,Navy Command,1105340,1/O (LS),54568,54568,Direct Military Support,15.0,Operational Delivery
435,Ministry of Defence,Ministry of Defence,Navy Command,1105340,1/O (SE),55342,55342,Direct Military Support,26.0,Operational Delivery
436,Ministry of Defence,Ministry of Defence,Navy Command,1105340,1/O (X),53305,53305,Direct Military Support,26.0,Operational Delivery
