,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
47,"Department for Culture, Media and Sport",The Natural History Museum,Public Engagement,770,Band 3,39592,59510,Senior Operational Manager,10.0,Operational Delivery
48,"Department for Culture, Media and Sport",The Natural History Museum,Public Engagement,770,Technical & Professional 4 (TP4),36112,44442,Senior Operational Manager,16.2,Operational Delivery
49,"Department for Culture, Media and Sport",The Natural History Museum,Public Engagement,770,Technical & Professional 3 (TP3),31113,37356,Operational Manager,25.84,Operational Delivery
50,"Department for Culture, Media and Sport",The Natural History Museum,Public Engagement,770,Technical & Professional 3 (TP3),31113,37356,Technical Adviser,11.0,Operational Delivery
51,"Department for Culture, Media and Sport",The Natural History Museum,Public Engagement,770,Technical & Professional 2 (TP2),26523,31844,Operations Support Officer,64.76,Operational Delivery
52,"Department for Culture, Media and Sport",The Natural History Museum,Public Engagement,770,Technical & Professional 2 (TP2),26523,31844,Technical Adviser,3.0,Operational Delivery
53,"Department for Culture, Media and Sport",The Natural History Museum,Public Engagement,770,Technical & Professional 1 (TP1),23480,27483,Operations Support Officer,16.29,Operational Delivery
54,"Department for Culture, Media and Sport",The Natural History Museum,Public Engagement,770,Front of House A (FOH A),15467,18619,Operations Support Officer,21.89,Operational Delivery
55,"Department for Culture, Media and Sport",The Natural History Museum,Public Engagement,770,Front of House B (FOH B),19669,23368,Operations Support Officer,10.6,Operational Delivery
56,"Department for Culture, Media and Sport",The Natural History Museum,Public Engagement,770,Band 1,65904,85582,Senior Operational Manager,2.0,Operational Delivery
57,"Department for Culture, Media and Sport",The Natural History Museum,Public Engagement,770,Administrative B (Admin B),20721,23368,Operations Support Officer,2.0,Operational Delivery
58,"Department for Culture, Media and Sport",The Natural History Museum,Public Engagement,770,FOH Retail A,15467,18619,Operations Support Officer,16.66,Operational Delivery
59,"Department for Culture, Media and Sport",The Natural History Museum,Public Engagement,770,Housekeeping A,15467,18619,Operations Support Officer,4.0,Operational Delivery
60,"Department for Culture, Media and Sport",The Natural History Museum,Public Engagement,770,Security A,17567,20216,Operations Support Officer,7.0,Operational Delivery
61,"Department for Culture, Media and Sport",The Natural History Museum,Public Engagement,770,Housekeeping B,19669,23368,Operations Support Officer,1.0,Operational Delivery
62,"Department for Culture, Media and Sport",The Natural History Museum,Public Engagement,770,Technical & Professional 2 (TP2),26523,31844,Technical Support Officer,17.0,Operational Delivery
63,"Department for Culture, Media and Sport",The Natural History Museum,Public Engagement,770,Administrative B (Admin B),20721,23368,Operations Support Officer,5.7,Operational Delivery
64,"Department for Culture, Media and Sport",The Natural History Museum,Public Engagement,770,Technical & Professional 4 (TP4),36112,44442,Senior Technical Adviser,4.0,Operational Delivery
65,"Department for Culture, Media and Sport",The Natural History Museum,Public Engagement,770,Technical & Professional 3 (TP3),31113,37356,Project Manager,0.5,Programme and Project Management (PPM)
66,"Department for Culture, Media and Sport",The Natural History Museum,Public Engagement,770,Technical & Professional 3 (TP3),31113,37356,Programme Manager,0.5,Programme and Project Management (PPM)
67,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Band 1,65904,85582,Senior Operational Manager,5.0,Science and Engineering
68,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Band 1,65904,85582,Senior Researcher,5.0,Science and Engineering
69,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Band 2,51284,71099,Senior Researcher,13.0,Science and Engineering
70,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Band 2,51284,71099,Senior Operational Manager,5.4,Science and Engineering
71,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Band 3,39592,59510,Collections Manager,7.0,Science and Engineering
